,Valid,Name,Affiliation,Email Domain,Citation Count,ID,Paper Count,h-index,i10-index,g-index
0,-,Jiming Liu,"Chair Professor of Computer Science, Hong Kong Baptist University",,110211.0,id_Il6ArO0AAAAJ,14259.0,122.0,2187.0,202.0
1,-,Anuj Kumar Singh,"Research Associate, Orissa University of Agriculture and Technology,Bhubaneswar",,60966.0,id_XSGHN8IAAAAJ,15106.0,91.0,1506.0,138.0
2,+,yanxi liu,Penn State University,cse.psu.edu,65619.0,id_9gpR5y0AAAAJ,5106.0,102.0,1426.0,172.0
3,+,Joseph Wang,"New Mexico State university, Arizona State university, Technion, University California San  &hellip;",ucsd.edu,62607.0,id_0DEykT4AAAAJ,2965.0,106.0,1253.0,172.0
4,+,Eric Topol,"Professor of Genomics, The Scripps Research Institute",scripps.edu,101077.0,id_E2-uIQYAAAAJ,1605.0,159.0,894.0,274.0
5,-,Ziqiang Wang,Tianjin Institute of Geology and Mineral resources,,37847.0,id_tiGGCdIAAAAJ,5782.0,72.0,860.0,121.0
6,+,"Graham Colditz, MD, DrPH","Professor, Dept. of Surgery, Washington University School of Medicine, St. Louis",wudosis.wustl.edu,156961.0,id_M5_mEHQAAAAJ,1201.0,213.0,825.0,366.0
7,+,George P. Chrousos,"Professor, School of Medicine, University of Athens",med.uoa.gr,71958.0,id_rMgCyBUAAAAJ,1265.0,135.0,772.0,228.0
8,+,H. Eugene Stanley,"Professor of Physics, Boston University",bu.edu,77444.0,id_1fatN9EAAAAJ,1398.0,123.0,729.0,250.0
9,-,Jacques Derrida,"Philosophy, ï¿½cole des Hautes ï¿½tudes en Sciences Sociales de Paris (EHESS)",,101567.0,id_0A_lO2UAAAAJ,1771.0,125.0,662.0,302.0
